English,Chinese (S),Location,Transfers[10],Line, Latitude , Longitude ,
Jiuting,九亭,Songjiang,,9, 31.1373084763 , 121.3186988692 ,
Zhongchun Road,中春路,Minhang,,9, 31.1498604487 , 121.3387742946 ,
Qibao,七宝,Minhang,,9, 31.1553646782 , 121.3488243293 ,
Xingzhong Road,星中路,Minhang,,9, 31.1585606532 , 121.3686648517 ,
Hechuan Road,合川路,Minhang,,9, 31.1671036379 , 121.3849957673 ,
Caohejing Hi-Tech Park,漕河泾开发区,Xuhui,,9, 31.1707855528 , 121.3974211812 ,
Guilin Road,桂林路,Xuhui,,9, 31.1745393427 , 121.4163587380 ,
Yishan Road,宜山路,Xuhui,3 4,9, 31.1867983693 , 121.4275760079 ,
Xujiahui,徐家汇,Xuhui,1 11,9, 31.1944398962 , 121.4359796592 ,
Zhaojiabang Road,肇嘉浜路,Xuhui,7,9, 31.1994744088 , 121.4504910350 ,
Jiashan Road,嘉善路,Xuhui,12,9, 31.2026987073 , 121.4609484928 ,
Dapuqiao,打浦桥,Huangpu,,9, 31.2070742179 , 121.4690718125 ,
Madang Road,马当路,Huangpu,13,9, 31.2093410665 , 121.4764588645 ,
Lujiabang Road,陆家浜路,Huangpu,8,9, 31.2119455185 , 121.4859701296 ,
Xiaonanmen,小南门,Huangpu,,9, 31.2169992542 , 121.4985386207 ,
Shangcheng Road,商城路,Pudong,,9, 31.2304474131 , 121.5164385905 ,
Century Avenue,世纪大道,Pudong,2 4 6,9, 31.2288923236 , 121.5271048707 ,
Middle Yanggao Road,杨高中路,Pudong,,9, 31.2271787533 , 121.5478632344 ,
Fangdian Road,芳甸路,Pudong,,9, 31.2318260000 , 121.5561170000 ,
Lantian Road,蓝天路,Pudong,,9, 31.2381547000 , 121.5648168000 ,
Taierzhuang Road,台儿庄路,Pudong,,9, 31.2550580000 , 121.5937950000 ,
Jinqiao,金桥,Pudong,,9, 31.2630560000 , 121.6067160000 ,
Jinji Road,金吉路,Pudong,,9, 31.2664990000 , 121.6247160000 ,
Jinhai Road,金海路,Pudong,12,9, 31.2631128023 , 121.6386506525 ,
Gutang Road,顾唐路,Pudong,,9, 31.2681790000 , 121.6521360000 ,
Minlei Road,民雷路,Pudong,,9, 31.2704900000 , 121.6638410000 ,
Caolu,曹路,Pudong,,9, 31.2734020000 , 121.6786700000 ,
Hangzhong Road,航中路,Minhang,,10, 31.1652151686 , 121.3537478834 ,
Ziteng Road,紫藤路,Minhang,,10, 31.1694562644 , 121.3635519763 ,
Longbai Xincun,龙柏新村,Minhang,,10, 31.1774018165 , 121.3707747787 ,
Hongqiao Railway Station,虹桥火车站,Minhang,2 17 Hongqiao[b],10, 31.1937845473 , 121.3201189938 ,
Hongqiao Airport Terminal 2,虹桥2号航站楼,Minhang,2 [g],10, 31.1942220000 , 121.3262520000 ,
Hongqiao Airport Terminal 1,虹桥1号航站楼,Changning,,10, 31.1916460128 , 121.3472375915 ,
Shanghai Zoo,上海动物园,Changning,,10, 31.1901939874 , 121.3680242086 ,
Longxi Road,龙溪路,Changning,,10, 31.1951280814 , 121.3814021055 ,
Shuicheng Road,水城路,Changning,,10, 31.1993697940 , 121.3922596904 ,
Yili Road,伊犁路,Changning,,10, 31.1992363369 , 121.4026608552 ,
Songyuan Road,宋园路,Changning,,10, 31.1964706289 , 121.4125461763 ,
Hongqiao Road,虹桥路,Changning,3 4,10, 31.1971021989 , 121.4211198430 ,
Jiaotong University,交通大学,Xuhui,11,10, 31.2022598784 , 121.4352923163 ,
Shanghai Library,上海图书馆,Xuhui,,10, 31.2075709839 , 121.4434387903 ,
South Shaanxi Road,陕西南路,Huangpu,1 12,10, 31.2149228095 , 121.4585974611 ,
Xintiandi,新天地,Huangpu,13,10, 31.2161021182 , 121.4743520059 ,
Laoximen,老西门,Huangpu,8,10, 31.2187806625 , 121.4828868891 ,
Yuyuan Garden,豫园,Huangpu,,10, 31.2277350086 , 121.4875257285 ,
East Nanjing Road,南京东路,Huangpu,2,10, 31.2374561554 , 121.4850320751 ,
Tiantong Road,天潼路,Hongkou/Jing'an,12,10, 31.2438164461 , 121.4823430367 ,
North Sichuan Road,四川北路,Hongkou,,10, 31.2517568892 , 121.4839997375 ,
Hailun Road,海伦路,Hongkou,4,10, 31.2592106246 , 121.4886958127 ,
Youdian Xincun,邮电新村,Hongkou,,10, 31.2684272961 , 121.4943001399 ,
Siping Road,四平路,Yangpu/Hongkou,8,10, 31.2748052758 , 121.5014803410 ,
Tongji University,同济大学,Yangpu,,10, 31.2824065011 , 121.5065200085 ,
Guoquan Road,国权路,Yangpu,,10, 31.2892379117 , 121.5100333617 ,
Wujiaochang,五角场,Yangpu,,10, 31.2977100187 , 121.5144910866 ,
Jiangwan Stadium,江湾体育场,Yangpu,,10, 31.3030968052 , 121.5140188265 ,
Sanmen Road,三门路,Yangpu,,10, 31.3130914702 , 121.5079951705 ,
East Yingao Road,殷高东路,Yangpu,,10, 31.3218199895 , 121.5065889223 ,
Xinjiangwancheng,新江湾城,Yangpu,,10, 31.3288147046 , 121.5065640457 ,
Disney Resort,迪士尼,Pudong,,11, 31.1434290000 , 121.6637370000 ,
Kangxin Highway,康新公路,Pudong,,11, 31.0757000000 , 121.3647000000 ,
Xiuyan Road,秀沿路,Pudong,,11, 31.0825000000 , 121.3539000000 ,
Luoshan Road,罗山路,Pudong,16,11, 31.1532727960 , 121.5931844861 ,
Yuqiao,御桥,Pudong,,11, 31.1583345034 , 121.5716571257 ,
Pusan Road,浦三路,Pudong,,11, 31.1510335405 , 121.5393584948 ,
East Sanlin,三林东,Pudong,,11, 31.1465250835 , 121.5232336824 ,
Sanlin,三林,Pudong,,11, 31.1433107997 , 121.5123244179 ,
Oriental Sports Center,东方体育中心,Pudong,6 8,11, 31.1534473114 , 121.4803520640 ,
Longyao Road,龙耀路,Xuhui,,11, 31.1595784247 , 121.4597455997 ,
Yunjin Road,云锦路,Xuhui,,11, 31.1675775550 , 121.4584426399 ,
Longhua,龙华,Xuhui,12,11, 31.1729356119 , 121.4532781374 ,
Shanghai Swimming Center,上海游泳馆,Xuhui,,11, 31.1793964079 , 121.4413695532 ,
Xujiahui,徐家汇,Xuhui,1 9,11, 31.1944398962 , 121.4359796592 ,
Jiaotong University,交通大学,Xuhui,10,11, 31.2022598784 , 121.4352923163 ,
Jiangsu Road,江苏路,Changning,2,11, 31.2193553755 , 121.4310034273 ,
Longde Road,隆德路,Putuo,13,11, 31.2305098288 , 121.4236451950 ,
Caoyang Road,曹杨路,Putuo,3 4,11, 31.2384670386 , 121.4168652789 ,
Fengqiao Road,枫桥路,Putuo,,11, 31.2425151175 , 121.4103676657 ,
Zhenru,真如,Putuo,,11, 31.2508843079 , 121.4073003736 ,
West Shanghai Railway Station,上海西站,Putuo,Shanghaixi[b],11, 31.2640220628 , 121.3995217963 ,
Liziyuan,李子园,Putuo,,11, 31.1608000000 , 121.2324000000 ,
Qilianshan Road,祁连山路,Putuo,,11, 31.2715645456 , 121.3771865748 ,
Wuwei Road,武威路,Putuo,,11, 31.2799196633 , 121.3624972732 ,
Taopu Xincun,桃浦新村,Putuo,,11, 31.2814401613 , 121.3504946699 ,
Nanxiang,南翔,Jiading,,11, 31.2812503636 , 121.3054164301 ,
Chenxiang Highway,陈翔公路,Jiading,,11, 31.3089580000 , 121.3019170000 ,
Malu,马陆,Jiading,,11, 31.3194590000 , 121.2768310000 ,
Jiading Xincheng,嘉定新城,Jiading,,11, 31.3300690000 , 121.2542990000 ,
